id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
176353	pġsdb	pġsdb  	pġsdb/	pġsdb	PN m. sg. abs. nom.	Pġsdb	Named subject of lủk; DULAT and Tania independently identify the personal name, while Tropper's syntax makes it nominative.
176354	šml	šml 	šml(I)/	šml (I)	n. m. sg. cstr. nom.	commercial agent	DULAT and Tropper read “the ivory commercial agent.”
176355	šn	šn	šn/	šn	n. m. sg. abs. gen.	ivory	DULAT and Tropper identify “ivory,” excluding verbal /š-n-w/.
# KTU 2.17 6							
176356	w	w 	w	w	conj.	and	
176357	tbˤ	tbʿ 	tbˤ[	/t-b-ʕ/	vb G suffc. 3 m. sg.	to go, depart	Tropper reads a finite 3ms “and he went”; this outweighs Tania's tentative unfinished infinitive/participle comment.
176358	ank	ank  	ank	ảnk	pers. pn. 1 c. sg.	I	Independent subject pronoun in the following nominal clause (Notarius and Tropper).
176359	ˤx	[[ʿx]]	?	?	?	?	
# KTU 2.17 7							
176360	ˤm	ʿm 	ˤm(I)	ʕm (I)	prep.	in, with	Tropper translates “in his embassy.”
176361	mlakth	mlakth 	mlak(t/t+h	mlảkt	n. f. sg. cstr. gen. + 3 m. sg. suff.	his mission, embassy	
176362	šmˤh	šmʿh	šmˤ/+h	šmʕ	n. m. sg. cstr. nom. + 3 m. sg. suff.	his auditor	Notarius analyses “I was his auditor in his embassy.”
# KTU 2.17 8							
176363	w	w 	w	w	conj.	and	
176364	bˤly	bʿly 	bˤl(II)/+y	bʕl (II)	n. m. sg. cstr. nom. + 1 c. sg. suff.	my lord	Common title in this letter, not a divine name: Tropper translates “my lord,” and no independent onomastic source supports DN here.
176365	skn	skn  	skn(I)/	s:śkn (I)	n. m. sg. abs. nom.	prefect	DULAT and Tropper read the title in apposition to “my lord.”
176366	ydˤ	ydʿ  	!y!(ydˤ[	/y-d-ʕ/ (I)	vb G prefc. 3 m. sg. juss.	to know, consider	Tropper parses a jussive “shall know/consider”; the preformative is written y and root-initial y is reconstructed.
176367	rgmh	rgmh	rgm/+h	rgm	n. m. sg. cstr. acc. + 3 m. sg. suff.	his matter	DULAT and Tropper read the noun “matter.”
# KTU 2.17 9							
176368	w	w 	w	w	conj.	and	
176369	ht	ht 	ht	ht	adv.	and now, look	
176370	aby	aby 	ab/+y	ảb	n. m. sg. cstr. nom. + 1 c. sg. suff.	my father	Tania independently reads “my father”; DULAT supports the common-noun lexeme.
176370	aby	aby 	aby/	ả/ỉby	PN m. sg. abs. nom.	A/ʾIbay	DULAT directly cites this spelling as the personal name A/ʾIbay.
176371	ṯṯ	ṯṯ 	ṯṯ/	ṯṯ	num. c.	six	DULAT identifies ṯṯ as the numeral “six,” including in composites.
176372	tl	tl[      ]      	tl(I)/	tl (I)	n. m. sg.	hill	Tropper's collation is uncertain between tl and d.
176372	tl	tl[      ]      	tl(II)/	tl (II)	n. m. sg.	weapon	
# KTU 2.17 10							
176373	ḥ	ḥ[                           ]                           	ḥ/	ḥ	n. m. sg.	life	
# KTU 2.17 11							
176374	lsx	lsx[                        ]                        	?	?	?	?	
# KTU 2.17 12							
176375	lḥtxġ	lḥt[x]ġ[                  ]                  	?	?	?	?	Tania tentatively isolates lḥt; no source supports an analysis of the entire written sequence.
# KTU 2.17 13							
176376	ky	ky  	k(III)&y	k (III)	subordinating or completive functor	that, as for	Tropper §82.11 treats y as plene spelling of the subordinator in his reconstruction “as for the fact that”; it is not a 1cs suffix.
176376	ky	ky  	k(IV)&y	k (IV)	adv.	here	DULAT directly cites k(IV) “here”; y is plene, not a suffix.
176377	mi	mi[                  ]                  	?	?	?	?	Tropper tentatively proposes an unknown personal name, but syntax alone does not license PN encoding.
# KTU 2.17 14							
176378	w	w 	w	w	conj.	and	
176379	pr	pr[                     ]                     	pr(I)/	pr (I)	n. m. sg.	fruit	Tania independently reads pr (I).
176379	pr	pr[                     ]                     	pr(II)/	pr (II)	n. m. sg.	young bull	Tania independently reads pr (II); Tropper's tentative unknown-PN reconstruction does not license PN encoding.
# KTU 2.17 15							
176380	tštil	tštil 	!t!š]t](ʔ&il[	/š-ʔ-l/	vb Gt prefc. 3 m. du.	to require a formal reply	Tropper and Notarius identify Gt /š-ʔ-l/; written t is the infix and i spells the weak aleph. Tropper permits 3 m. dual/plural or 2 m. singular.
176380	tštil	tštil 	!t!š]t](ʔ&il[:w	/š-ʔ-l/	vb Gt prefc. 3 m. pl.	to require a formal reply	Agreement alternative explicitly allowed by Tropper; :w records the unwritten plural ending.
176380	tštil	tštil 	!t=!š]t](ʔ&il[	/š-ʔ-l/	vb Gt prefc. 2 m. sg.	to require a formal reply	Agreement alternative explicitly allowed by Tropper; the Gt stem itself is secure (DULAT; Notarius).
176381		[                     ]                     	?	?	?	?	
# KTU 2.17 16							
176382	ˤmn	ʿmn  	ˤm(I)~n	ʕm (I)	prep. + encl. -n	among, with	Tropper §89.11 treats n as an emphatic extension of the preposition; Tania independently agrees.
176383	bnš	bnš 	bnš/	bnš	n. m. sg. abs. gen.	personnel, people	Tropper treats the morphologically singular noun as collective: “among the people.”
176384	xx	xx[        ]        	?	?	?	?	
